id,travel_category,Country,City,Landmark,Solo,Couple,Family,Friends,Business,Pilgrimage or heritage,Adventure,Cuisine,Sight Seeing,Nightlife,Shopping,Competitions,Plane,Bus,Car,Train,Walking,Hotel,Hostel,AirBnB,Camping,Villa,Cheap,Affordable,Luxury,Travel Duration,Summer,Winter,Spring,Autumn,Safety Concerns 
3119,Travel Tips & Advice,US,LA,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,,,
3120,Tourist Activities & Experiences,USA,CA,,,,y,,,,Y Hiking KAYAKING ,y,,,y,Marathon,,,y,y,,y,,,y,,y,,,4 days,,,,,
3126,Trip Planning,,LA,Yellowstone,,,y,,,,,y,,,,,,,,y,,y,,,,,y,,,5 days,,,,,
3128,Accommodation,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,Food & Culture (Travel Context),India,Goa,,,,,,,,,y,,y,,,,,,,,y,,,,,,,,,,,,,
3131,Travel Tips & Advice,,,,,,,,,,Hiking,,,,,,,,y,,,,,,y,,,,,1 day,,,,,
3132,Travel Tips & Advice,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,
3134,Tourist Activities & Experiences,,,,,,,,,y,,y,,,,,,,,,,y,,,,,,,,,,,,,
3135,Places & Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 weeks,,,,,
3136,Tourist Activities & Experiences,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,
3139,Tourist Activities & Experiences,Australia,Melborne,,,,,,,,y,y,,,,,,,,,,y,,,,,y,,,,,,,,
3140,Food & Culture (Travel Context),Mexico,,,,,,,,y,y,Mexican,,,,,,,,,,y,,,y,,y,,,,,,,,
3142,Places & Destinations,US,Nashville,,y,,,,,,y,y,y,y,y,,,,,,,y,,,,,,,,,,,,,
3143,Places & Destinations,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,2 week,,,,,
3144,Travel Tips & Advice,Japan,,,,,,,,,,y,y,y,,,,,,,,y,,,,,,,,,,,,,
3145,Travel Tips & Advice,southeast asia,,,,,,,,y,,y,,,,,,,,,,y,,,,,y,,,,,,,,
3146,Places & Destinations,,,,,,,,,,beach,,,,,,,,,,,,,,,,,,,,,,,,
3147,Places & Destinations,US,LA,,,,,y,,,Hiking,y,y,y,y,,y,y,,y,y,y,,,,,y,y,y,7 days,,,y,,
3150,Food & Culture (Travel Context),Japan,,,,,,,,y,,Japanese,y,y,,,,,,,,,,,,,,,,,,,,,
3151,Tourist Activities & Experiences,,,,,,y,,,,amusement park,y,,,,,,,,,,,,,,,,,,,,,,,
3152,Travel Tips & Advice,,,,,,,,,,Hiking,,,,,,,,,,,,,,y,,,,,,,,,,
3154,Travel Tips & Advice,,,,,,,,,,,y,,y,,,,,,,,y,,,,,,,,,,,,,
3156,Trip Planning,US,,,,,,,,,Hiking,,,,,,,,,,,,,,y,,,,,5 days,,,,,
3158,Food & Culture (Travel Context),USA,,,,,,,,,,y,,,,,,y,y,,,,,,,,,,,4 weeks,,,,,
3161,Travel Tips & Advice,US,New York,,,,,,,,,y,,y,,,,,,,,y,,,,,,,,3 days,,,,,
3162,Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3165,Places & Destinations,,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,7 days,,,,,
3168,Food & Culture (Travel Context),europe,,,,,,,,,,,,,,,,,,,,y,,,,,,,,2 weeks,,,,,
3170,Places & Destinations,,arctic,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
3172,Places & Destinations,,,,,,,,,,Hiking,,,,,,,,,,,,,,y,,,,,,,,,,
3173,Travel Tips & Advice,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3174,Travel Costs & Budgeting,,,,,,y,,,,,,,,,,,,,,,y,,,,,y,,,,,,,,
3175,Places & Destinations,,,,,,,,,,y,y,,,,,,,,,,y,,,,,,,,,,y,,,
3176,Trip Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3177,Trip Planning,,,,,,,,,,Hiking,,,,,,,,,,y,,,,y,,,,,,,,,,
3178,Places & Destinations,,,,,,,,,,y,y,,y,,,,,,,,y,,,,,,,,,,,,,
3179,Places & Destinations,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
3181,Places & Destinations,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,
3182,Places & Destinations,,,,,y,,,,,,y,,y,,,,,,,,y,,,,,,,,,,,,,
3183,Trip Planning,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,1,,,,,
3184,Transportation,US,Chicago,,y,,,,y,,,y,,y,,,,,,,,y,,,,,,,y,3 days,,,,,
3185,Tourist Activities & Experiences,New Zealand,,"Bay of islands, Sothern alps",y,,y,y,,,Hiking,y,y,y,,,,,,,,,,,y,,y,,,,,,,,
3186,Places & Destinations,Australia,"Sydney,Melborne",,,,y,,,,,y,y,,,,,,,,,y,,,,,y,,,2 weeks,,,,,
3188,Places & Destinations,US,New York,,,,,,,,y,y,,,,,,,,,,y,,,,,y,,,7 days,,y,,,
3189,Places & Destinations,,,,,,,,,,horse riding,,,,,,,,,,,,,,,,,,,,,,,,
3191,Places & Destinations,France,Paris,,,,,,,,,y,,,,,,,,y,,y,,,,,y,,,,,,,,
3192,Travel Tips & Advice,,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,,,,,
3193,Tourist Activities & Experiences,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3195,Places & Destinations,,,,,,,,,,y,y,,,,,,,,,,y,,,,,,,,weekend,,,,,
3196,Accommodation,Europe,,,,y,,,,,,y,y,y,y,,,,,y,y,,,,y,y,y,,y,2 weeks,,,,,
3197,Tourist Activities & Experiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,Places & Destinations,,,,,,,,,,boating,,,,,,,,,,,,,,,,,,,,,,,,
3201,Travel Tips & Advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>1day,,,,,
3202,Food & Culture (Travel Context),,,,,,,,,,,y,y,y,,,,y,y,y,,y,,,,,y,y,,6 nights,,,,,
3203,Places & Destinations,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
3204,Places & Destinations,Europe,"Paris, Barcelona, ",,,,y,,,,,y,,y,,,,,,,,,,,,,,,,2 weeks,y,,,,
3205,Places & Destinations,,,,y,,,,,,,y,y,,,,,,,y,,Marriott,,,,,,y,,,,,,,
3206,Places & Destinations,"France,Italy,Switzerland,netherlands","Paris,Rome,Florence,Interlaken,Amsterdam","Eiffel Tower,Van Gogh museum, Bernes Alps, Roman Forum, ",,,,,,,Snowboarding,Pizza,y,y,y,,Ana,,y,y,y,y,y,,,y,y,,,4 nights,,y,,,
3207,Places & Destinations,,,,,,,,,,,y,,y,,,,,,,,y,,,,,y,,,3 days,,,,,
3208,Trip Planning,USA,Yosemite,Yosemite,,,,,,,Hiking,y,,,,,,,,,,,,,y,,,,,3days,,,,,
3209,Trip Planning,India,,Himalayas,,,,,,y,Hiking,Vegetarian,y,,,,,,,,y,y,,,y,,,,,21 days,,,,,
3210,Travel Services & Infrastructure,,,,,,y,,,,,Caribbean,,y,,,,,y,,,,,,,,,,,7 days,,,,,
3211,Food & Culture (Travel Context),US,Seattle,"The Emarald city, Pike place market, space needle",,,,y,,,,Italian,y,y,y,,,y,y,,,y,,,y,,,,,,,,y,,
3212,Trip Planning,,,,y,,,,,,Hiking,,,,,,,,,,,,,,y,,,,,,,,,,
3214,Places & Destinations,France,Paris,Eiffel Tower,,y,,,,,,French,y,y,y,,,y,,y,y,y,,,,,y,y,,,y,,y,,
3215,Food & Culture (Travel Context),,New York,,,,,,,,,Chinese,,,,,,,,,,y,,,,,,,,,,,,,
